Model,Accuracy,Precision,Recall,F1 Score,MCC,ROC-AUC
Logistic Regression,0.9214102093279471,0.9223932829850857,0.9214102093279471,0.9216412189941886,0.9050427415349344,0.9934713023490542
Random Forest,0.9214102093279471,0.9214543759740992,0.9214102093279471,0.9213559045452582,0.9049442628604631,0.9923513718805416
K-Nearest Neighbors,0.9173705471905986,0.9182215652772624,0.9173705471905986,0.9175157227567262,0.9001277690316859,0.984936789605052
Decision Tree,0.9070877708409842,0.9072979367087746,0.9070877708409842,0.9070805169338294,0.8876061858335431,0.9695512082260612
Gaussian Naive Bayes,0.8979067205288285,0.9007023749849569,0.8979067205288285,0.8980754820999807,0.8772632840842779,0.99020118800855
